year	category	nominee	win	performance	nominee_id
2009	Best Lighting Design of a Musical	Howell Binkley	Nominee	West Side Story	howell-binkley-25554
2009	Best Sound Design of a Play	Gregory Clarke	Winner	Equus	gregory-clarke-456610
2009	Best Sound Design of a Play	Russell Goldsmith	Nominee	Exit the King	russell-goldsmith-482531
2009	Best Sound Design of a Play	Scott Lehrer	Nominee	Joe Turner's Come and Gone	scott-lehrer-69902
2009	Best Sound Design of a Play	Leon Rothenberg	Nominee	Joe Turner's Come and Gone	leon-rothenberg-409196
2009	Best Sound Design of a Play	Paul Arditti	Nominee	Mary Stuart	paul-arditti-69725
2009	Best Sound Design of a Musical	Paul Arditti	Winner	Billy Elliot: The Musical	paul-arditti-69725
2009	Best Sound Design of a Musical	Acme Sound Partners	Nominee	Hair	acme-sound-partners-80635
2009	Best Sound Design of a Musical	Brian Ronan	Nominee	Next To Normal	brian-ronan-69957
2009	Best Sound Design of a Musical	Peter Hylenski	Nominee	Rock of Ages	peter-hylenski-71612
2009	Best Direction of a Play	Matthew Warchus	Winner	God of Carnage	matthew-warchus-16443
2009	Best Direction of a Play	Bartlett Sher	Nominee	Joe Turner's Come and Gone	bartlett-sher-390708
2009	Best Direction of a Play	Phyllida Lloyd	Nominee	Mary Stuart	phyllida-lloyd-84810
2009	Best Direction of a Play	Matthew Warchus	Nominee	The Norman Conquests: Living Together	matthew-warchus-16443
2009	Best Direction of a Play	Matthew Warchus	Nominee	The Norman Conquests: Round and Round the Garden	matthew-warchus-16443
2009	Best Direction of a Play	Matthew Warchus	Nominee	The Norman Conquests: Table Manners	matthew-warchus-16443
2009	Best Direction of a Musical	Stephen Daldry	Winner	Billy Elliot: The Musical	stephen-daldry-14547
2009	Best Direction of a Musical	Diane Paulus	Nominee	Hair	diane-paulus-482425
2009	Best Direction of a Musical	Michael Greif	Nominee	Next To Normal	michael-greif-14966
2009	Best Direction of a Musical	Kristin Hanggi	Nominee	Rock of Ages	kristin-hanggi-482306
2009	Best Choreography	Peter Darling	Winner	Billy Elliot: The Musical	peter-darling-475123
2009	Best Choreography	Andy Blankenbuehler	Nominee	9 to 5	andy-blankenbuehler-32280
2009	Best Choreography	Karole Armitage	Nominee	Hair	karole-armitage-475094
2009	Best Choreography	Randy Skinner	Nominee	Irving Berlin's White Christmas	randy-skinner-16192
2009	Best Orchestrations	Martin Koch	Winner	Billy Elliot: The Musical	martin-koch-83153
2009	Best Orchestrations	Tom Kitt	Winner	Next To Normal	tom-kitt-100673
2009	Best Orchestrations	Michael Starobin	Winner	Next To Normal	michael-starobin-72763
2009	Best Orchestrations	Larry Blank	Nominee	Irving Berlin's White Christmas	larry-blank-86417
2009	Best Orchestrations	John Clancy	Nominee	Shrek The Musical	john-clancy-466806
2009	Best Orchestrations	Danny Troob	Nominee	Shrek The Musical	danny-troob-12659
2009	Regional Theatre Award	The Signature Theatre (Eric Schaeffer, Artistic Director)	Recipient	No Associated Performance
2009	Special Award for Lifetime Achievement	Jerry Herman	Recipient	No Associated Performance
2009	Isabelle Stevenson Award	Phyllis Newman	Recipient	No Associated Performance
2009	Tony Honor for Excellence in Theatre	Shirley Herz	Recipient	No Associated Performance
2008	Best Play	Tracy Letts	Winner	August: Osage County	tracy-letts-379129
2008	Best Play	Jeffrey Richards	Winner	August: Osage County	jeffrey-richards-72831
2008	Best Play	Jean Doumanian	Winner	August: Osage County	jean-doumanian-92600
2008	Best Play	Steve Traxler	Winner	August: Osage County	steve-traxler-467755
2008	Best Play	Jerry Frankel	Winner	August: Osage County	jerry-frankel-1166
2008	Best Play	Ostar Productions	Winner	August: Osage County	ostar-productions-472645
2008	Best Play	Jennifer Manocherian	Winner	August: Osage County	jennifer-manocherian-22518
2008	Best Play	The Weinstein Company	Winner	August: Osage County	the-weinstein-company-457580
2008	Best Play	Debra Black/Daryl Roth	Winner	August: Osage County	debra-black-daryl-roth-516158
2008	Best Play	Ronald & Marc Frankel/Barbara Freitag	Winner	August: Osage County	ronald-marc-frankel-barbara-freitag-506954
2008	Best Play	Rick Steiner/Staton Bell Group	Winner	August: Osage County	rick-steiner-staton-bell-group-506955
2008	Best Play	The Steppenwolf Theatre Company (Martha Lavey: Artistic Director; David Hawkanson: Executive Director)	Winner	August: Osage County	the-steppenwolf-theatre-company-martha-lavey-artistic-director-david-hawkanson-executive-director-467756
2008	Best Play	Tom Stoppard	Nominee	Rock 'n' Roll	tom-stoppard-8912
2008	Best Play	Bob Boyett & Sonia Friedman Productions	Nominee	Rock 'n' Roll	bob-boyett-sonia-friedman-productions-516176
2008	Best Play	Ostar Productions	Nominee	Rock 'n' Roll	ostar-productions-472645
2008	Best Play	Roger Berlind	Nominee	Rock 'n' Roll	roger-berlind-23702
2008	Best Play	Tulchin/Bartner	Nominee	Rock 'n' Roll	tulchin-bartner-497836
2008	Best Play	Douglas G. Smith	Nominee	Rock 'n' Roll	douglas-g-smith-472558
2008	Best Play	Dancap Productions, Inc.	Nominee	Rock 'n' Roll	dancap-productions-inc-446165
2008	Best Play	Jam Theatricals	Nominee	Rock 'n' Roll	jam-theatricals-489088
