year	category	nominee	winner	film
1932	SOUND RECORDING	Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director	False	42nd Street
1932	SOUND RECORDING	Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director	False	Gold Diggers of 1933
1932	SOUND RECORDING	Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director	False	I Am a Fugitive from a Chain Gang
1932	WRITING (Adaptation)	Robert Riskin	False	Lady for a Day
1932	WRITING (Adaptation)	Victor Heerman, Sarah Y. Mason	True	Little Women
1932	WRITING (Adaptation)	Paul Green, Sonya Levien	False	State Fair
1932	WRITING (Original Story)	Robert Lord	True	One Way Passage
1932	WRITING (Original Story)	Frances Marion	False	The Prizefighter and the Lady
1932	WRITING (Original Story)	Charles MacArthur	False	Rasputin and the Empress
1934	ACTOR	Clark Gable	True	It Happened One Night
1934	ACTOR	Frank Morgan	False	The Affairs of Cellini
1934	ACTOR	William Powell	False	The Thin Man
1934	ACTRESS	Claudette Colbert	True	It Happened One Night
1934	ACTRESS	Bette Davis	False	Of Human Bondage
1934	ACTRESS	Grace Moore	False	One Night of Love
1934	ACTRESS	Norma Shearer	False	The Barretts of Wimpole Street
1934	ART DIRECTION	Richard Day	False	The Affairs of Cellini
1934	ART DIRECTION	Van Nest Polglase, Carroll Clark	False	The Gay Divorcee
1934	ART DIRECTION	Cedric Gibbons, Fredric Hope	True	The Merry Widow
1934	ASSISTANT DIRECTOR	Cullen Tate	False	Cleopatra
1934	ASSISTANT DIRECTOR	Scott Beal	False	Imitation of Life
1934	ASSISTANT DIRECTOR	John Waters	True	Viva Villa!
1934	CINEMATOGRAPHY	Charles Rosher	False	The Affairs of Cellini
1934	CINEMATOGRAPHY	Victor Milner	True	Cleopatra
1934	CINEMATOGRAPHY	George Folsey	False	Operator 13
1934	DIRECTING	Frank Capra	True	It Happened One Night
1934	DIRECTING	Victor Schertzinger	False	One Night of Love
1934	DIRECTING	W. S. Van Dyke	False	The Thin Man
1934	FILM EDITING	Anne Bauchens	False	Cleopatra
1934	FILM EDITING	Conrad Nervig	True	Eskimo
1934	FILM EDITING	Gene Milford	False	One Night of Love
1934	MUSIC (Scoring)	RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)	False	The Gay Divorcee
1934	MUSIC (Scoring)	RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)	False	The Lost Patrol
1934	MUSIC (Scoring)	Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)	True	One Night of Love
1934	MUSIC (Song)	Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn	False	Flying Down to Rio
1934	MUSIC (Song)	Music by Con Conrad; Lyrics by Herb Magidson	True	The Gay Divorcee
1934	MUSIC (Song)	Music by Ralph Rainger; Lyrics by Leo Robin	False	She Loves Me Not
1934	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	The Barretts of Wimpole Street
1934	OUTSTANDING PRODUCTION	Paramount	False	Cleopatra
1934	OUTSTANDING PRODUCTION	First National	False	Flirtation Walk
1934	OUTSTANDING PRODUCTION	RKO Radio	False	The Gay Divorcee
1934	OUTSTANDING PRODUCTION	Warner Bros.	False	Here Comes the Navy
1934	OUTSTANDING PRODUCTION	20th Century	False	The House of Rothschild
1934	OUTSTANDING PRODUCTION	Universal	False	Imitation of Life
1934	OUTSTANDING PRODUCTION	Columbia	True	It Happened One Night
1934	OUTSTANDING PRODUCTION	Columbia	False	One Night of Love
1934	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	The Thin Man
1934	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	Viva Villa!
1934	OUTSTANDING PRODUCTION	Jesse L. Lasky (production company)	False	The White Parade
1934	SHORT SUBJECT (Cartoon)	Charles Mintz, Producer	False	Holiday Land
1934	SHORT SUBJECT (Cartoon)	Walter Lantz, Producer	False	Jolly Little Elves
1934	SHORT SUBJECT (Cartoon)	Walt Disney, Producer	True	The Tortoise and the Hare
1934	SHORT SUBJECT (Comedy)	Kenneth Macgowan, Producer	True	La Cucaracha
1934	SHORT SUBJECT (Comedy)	Jules White, Producer	False	Men in Black
